0019-内閣_100011860_2	0	1090	1130	I	みちしば	道芝	ミチシバ	名詞-普通名詞-一般			ミチシバ	和	みちしは
0019-内閣_100011860_2	0	1130	1140	I	の	の	ノ	助詞-格助詞			ノ	和	の
0019-内閣_100011860_2	0	1140	1160	I	つゆ	露	ツユ	名詞-普通名詞-一般			ツユ	和	つゆ
0019-内閣_100011860_2	0	1160	1210	B	あさましう	浅ましい	アサマシイ	形容詞-一般	文語形容詞-シク	連用形-ウ音便	アサマシュー	和	あさましう
0019-内閣_100011860_2	0	1210	1230	I	たれ	誰	ダレ	代名詞			タレ	和	たれ
0019-内閣_100011860_2	0	1230	1240	I	と	と	ト	助詞-格助詞			ト	和	と
0019-内閣_100011860_2	0	1240	1260	I	だに	だに	ダニ	助詞-副助詞			ダニ	和	たに
0019-内閣_100011860_2	0	1260	1280	I	しら	知る	シル	動詞-一般	文語四段-ラ行	未然形-一般	シラ	和	しら
0019-内閣_100011860_2	0	1280	1290	I	ず	ず	ズ	助動詞	文語助動詞-ズ	連用形-一般	ズ	和	す
0019-内閣_100011860_2	0	1290	1310	I	なり	成る	ナル	動詞-非自立可能	文語四段-ラ行	連用形-一般	ナリ	和	なり
0019-内閣_100011860_2	0	1310	1320	I	に	ぬ	ヌ	助動詞	文語助動詞-ヌ	連用形-一般	ニ	和	に
0019-内閣_100011860_2	0	1320	1340	I	しか	き	キ	助動詞	文語助動詞-キ	已然形-一般	シカ	和	しか
0019-内閣_100011860_2	0	1340	1350	I	ば	ば	バ	助詞-接続助詞			バ	和	は
0019-内閣_100011860_2	0	1350	1370	I	なを	猶	ナオ	副詞			ナオ	和	なを
0019-内閣_100011860_2	0	1370	1400	I	おもふ	思う	オモウ	動詞-一般	文語四段-ハ行	連体形-一般	オモウ	和	おもふ
0019-内閣_100011860_2	0	1400	1410	I	に	に	ニ	助詞-格助詞			ニ	和	に
0019-内閣_100011860_2	0	1410	1420	I	も	も	モ	助詞-係助詞			モ	和	も
0019-内閣_100011860_2	0	1420	1440	I	いふ	言う	イウ	動詞-一般	文語四段-ハ行	連体形-一般	イウ	和	いふ
0019-内閣_100011860_2	0	1440	1450	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和	に
0019-内閣_100011860_2	0	1450	1460	I	も	も	モ	助詞-係助詞			モ	和	も
0019-内閣_100011860_2	0	1460	1490	I	あまる	余る	アマル	動詞-非自立可能	文語四段-ラ行	連体形-一般	アマル	和	あまる
0019-内閣_100011860_2	0	1490	1510	I	心ち	心地	ココチ	名詞-普通名詞-一般			ココチ	和	心ち
0019-内閣_100011860_2	0	1510	1520	I	し	為る	スル	動詞-非自立可能	文語サ行変格	連用形-一般	シ	和	し
0019-内閣_100011860_2	0	1520	1540	I	給へ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	命令形	タマエ	和	給へ
0019-内閣_100011860_2	0	1540	1550	I	る	り	リ	助動詞	文語助動詞-リ	連体形-一般	ル	和	る
0019-内閣_100011860_2	0	1550	1570	B	あり	有る	アル	動詞-非自立可能	文語ラ行変格	連用形-一般	アリ	和	あり
0019-内閣_100011860_2	0	1570	1590	I	とも	とも	トモ	助詞-接続助詞			トモ	和	とも
0019-内閣_100011860_2	0	1590	1650	I	かどかどしく	角々しい	カドカドシイ	形容詞-一般	文語形容詞-シク	連用形-一般	カドカドシク	和	かと〳〵しく
0019-内閣_100011860_2	0	1650	1700	I	まことしき	真しい	マコトシイ	形容詞-一般	文語形容詞-シク	連体形-一般	マコトシキ	和	まことしき
0019-内閣_100011860_2	0	1700	1720	I	さま	様	サマ	名詞-普通名詞-一般			サマ	和	さま
0019-内閣_100011860_2	0	1720	1730	I	に	に	ニ	助詞-格助詞			ニ	和	に
0019-内閣_100011860_2	0	1730	1750	I	思ふ	思う	オモウ	動詞-一般	文語四段-ハ行	終止形-一般	オモウ	和	思ふ
0019-内閣_100011860_2	0	1750	1770	I	べき	べし	ベシ	助動詞	文語助動詞-ベシ	連体形-一般	ベキ	和	へき
0019-内閣_100011860_2	0	1770	1790	I	ほど	程	ホド	名詞-普通名詞-副詞可能			ホド	和	ほと
0019-内閣_100011860_2	0	1790	1800	I	に	に	ニ	助詞-格助詞			ニ	和	に
0019-内閣_100011860_2	0	1800	1810	I	は	は	ハ	助詞-係助詞			ワ	和	は
0019-内閣_100011860_2	0	1810	1830	I	あら	有る	アル	動詞-非自立可能	文語ラ行変格	未然形-一般	アラ	和	あら
0019-内閣_100011860_2	0	1830	1850	I	ざり	ず	ズ	助動詞	文語助動詞-ズ	連用形-補助	ザリ	和	さり
0019-内閣_100011860_2	0	1850	1870	I	つれ	つ	ツ	助動詞	文語助動詞-ツ	已然形-一般	ツレ	和	つれ
0019-内閣_100011860_2	0	1870	1880	I	ど	ど	ド	助詞-接続助詞			ド	和	と
0019-内閣_100011860_2	0	1880	1900	I	あか	飽く	アク	動詞-一般	文語四段-カ行	未然形-一般	アカ	和	あか
0019-内閣_100011860_2	0	1900	1910	I	ぬ	ず	ズ	助動詞	文語助動詞-ズ	連体形-一般	ヌ	和	ぬ
0019-内閣_100011860_2	0	1910	1940	I	わかれ	別れ	ワカレ	名詞-普通名詞-一般			ワカレ	和	わかれ
0019-内閣_100011860_2	0	1940	1950	I	は	は	ハ	助詞-係助詞			ワ	和	は
