NDLD-元和_000000000_2	0	1110	1140	I	霜がれ	霜枯れる	シモガレル	動詞-一般	文語下二段-ラ行	連用形-一般	シモガレ	和	霜かれ
NDLD-元和_000000000_2	0	1140	1150	I	て	て	テ	助詞-接続助詞			テ	和	て
NDLD-元和_000000000_2	0	1150	1170	I	たれ	誰	ダレ	代名詞			タレ	和	たれ
NDLD-元和_000000000_2	0	1170	1180	I	に	に	ニ	助詞-格助詞			ニ	和	に
NDLD-元和_000000000_2	0	1180	1200	I	とは	問う	トウ	動詞-一般	文語四段-ハ行	未然形-一般	トワ	和	とは
NDLD-元和_000000000_2	0	1200	1220	I	まし	まし	マシ	助動詞	文語助動詞-マシ	連体形-一般	マシ	和	まし
NDLD-元和_000000000_2	0	1220	1240	I	道芝	道芝	ミチシバ	名詞-普通名詞-一般			ミチシバ	和	道芝
NDLD-元和_000000000_2	0	1240	1250	I	の	の	ノ	助詞-格助詞			ノ	和	の
NDLD-元和_000000000_2	0	1250	1260	I	露	露	ツユ	名詞-普通名詞-一般			ツユ	和	露
NDLD-元和_000000000_2	0	1260	1310	I	あさましう	浅ましい	アサマシイ	形容詞-一般	文語形容詞-シク	連用形-ウ音便	アサマシュー	和	あさましう
NDLD-元和_000000000_2	0	1310	1330	I	ゆく	行く	イク	動詞-非自立可能	文語四段-カ行	連体形-一般	ユク	和	ゆく
NDLD-元和_000000000_2	0	1330	1340	I	ゑ	方	エ	名詞-普通名詞-一般			エ	和	ゑ
NDLD-元和_000000000_2	0	1340	1360	I	なく	無い	ナイ	形容詞-非自立可能	文語形容詞-ク	連用形-一般	ナク	和	なく
NDLD-元和_000000000_2	0	1360	1380	I	たれ	誰	ダレ	代名詞			タレ	和	たれ
NDLD-元和_000000000_2	0	1380	1390	I	と	と	ト	助詞-格助詞			ト	和	と
NDLD-元和_000000000_2	0	1390	1410	I	だに	だに	ダニ	助詞-副助詞			ダニ	和	たに
NDLD-元和_000000000_2	0	1410	1430	I	しら	知る	シル	動詞-一般	文語四段-ラ行	未然形-一般	シラ	和	しら
NDLD-元和_000000000_2	0	1430	1440	I	で	で	デ	助詞-接続助詞			デ	和	て
NDLD-元和_000000000_2	0	1440	1460	I	やみ	止む	ヤム	動詞-一般	文語四段-マ行	連用形-一般	ヤミ	和	やみ
